,,81,성시경,,희재,가능,,FALSE,FALSE,"햇살은 우릴 위해 내리고
바람도 기분 좋게 불어와
너와 함께 걷는 이 길이
영원히 끝나지 않길 바랬어

희재야 내 사랑 희재야
이름만 불러 봐도 눈물 나
네가 없는 이 세상은 내게
아무 의미 없단 걸 알잖아

기억하니 우리 약속했던 미래
함께라면 뭐든 할 수 있다던 말
결국 넌 내 곁을 떠나갔지만
나의 맘 속엔 항상 네가 있어

희재야 보고 싶은 희재야
하늘 나라에선 부디 행복해
나는 여기서 너를 기억할게
나의 부동의 첫사랑",
,,82,스탠딩에그,,오래된 노래,가능,,FALSE,FALSE,"오래된 노래를 듣다가
문득 네 생각이 났어
우리가 함께 부르던 그 노래
가사 한 마디 한 마디가 다 우리 얘기 같아

너는 지금 어디서 뭘 하니
혹시 나처럼 이 노랠 듣니
그리운 시절의 우리 모습이
선명하게 떠올라 눈물 나

사랑은 가도 노래는 남아
우리의 추억을 지키고 있어
언젠가 너를 다시 만난다면
함께 이 노랠 부르고 싶어

오래된 노래 속에 갇힌 나",
,,83,아이유,,밤편지,가능,,FALSE,FALSE,"이 밤 그날의 반딧불을
당신의 창 가까이 보낼게요
음 사랑한다는 말이에요

나 우리의 첫 입맞춤을 떠올려
그럼 언제든 눈을 감고
음 가장 먼 곳으로 가요

난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
늘 그리워 그리워

여기 내 마음속에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말이에요

어떻게 나에게
그대란 행운이 온 걸까
지금 우리 함께 있다면
아 얼마나 좋을까요

난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
또 그리워 그리워

나의 일기장 안에
모든 말을 다 적어 둘 순 없지만
사랑한다는 말

이 밤 그날의 반딧불을
당신의 창 가까이 보낼게요
음 좋은 꿈 이길 바라요",
,,84,아이유,,잔소리,가능,,FALSE,FALSE,"늦게 다니지 좀 마
술은 적당히 마셔
하나부터 열까지 다 널 위한 소리야
내 말 좀 들어봐

잔소리 같지만 사랑이야
네가 걱정돼서 그러는 거야
제발 정신 차리고 나 좀 봐줘
나는 너뿐이란 말이야

왜 자꾸 내 맘을 몰라주니
딴청 피우는 네가 너무 미워
하지만 어떡해 널 좋아하는 걸
화내도 미소 짓는 넌 나의 운명",
,,85,악뮤,,어떻게 이별까지 사랑하겠어,가능,,FALSE,FALSE,"어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로 널 가두고
아프게 했던 날 용서해줘

우리의 사랑은 여기까지인 가봐
서로를 위해 놓아줘야 할 시간
하지만 자꾸만 뒤를 돌아보게 돼
네가 서 있을 것만 같아서

어떻게 이별까지 사랑하겠어
널 사랑하는 거지
지워지지 않는 너의 흔적들이
나를 괴롭히네 오늘도

사랑했어 정말 진심으로",
,,86,양다일,,미안해,가능,B (-1),TRUE,FALSE,"미안해라는 말로 다 될 줄 알았어
너에게 준 상처가 이리 클 줄 몰랐어
이기적인 내 마음이 너를 지치게 했어
결국 넌 나를 떠나갔구나

미안해 정말 미안해
이제 와 소용없단 걸 알지만
너 없는 하루가 이토록 시릴 줄은
정말 꿈에도 몰랐어

기억하니 우리 좋았던 날들
영원할 줄 알았던 우리의 약속
내 잘못으로 다 깨져버렸지만
나는 아직 너를 그리워해

미안해 돌아와주라
네가 없는 난 아무것도 아냐",
,,87,양요섭,,네가 없는 곳,가능,,TRUE,FALSE,"네가 없는 곳은 차갑기만 해
온기가 사라진 우리들의 방
너의 향기가 아직 남아있는데
너는 어디에도 보이지 않아

네가 없는 곳에서 나는 방황해
너의 이름을 소리 높여 불러보지만
돌아오는 건 공허한 메아리뿐
나를 더 비참하게 만드네

사랑은 왜 이렇게 잔인한 걸까
가장 행복했던 순간에 우리를 갈라놔
나는 아직 준비가 안 됐는데
너를 보내줄 자신 없는데

네가 없는 곳에서 나 홀로 남아",
,,88,어반자카파,,널 사랑하지 않아,가능,,FALSE,FALSE,"널 사랑하지 않아
다른 이유는 없어
미안하다는 말도 하기 싫어
그냥 마음이 떠난 거야

우리 함께한 시간들이 아까워도
어쩔 수 없어 이게 현실이니까
너도 알고 있잖아 우리 사이가
이미 끝나버렸다는 걸

널 사랑하지 않아
억지로 옆에 있고 싶지 않아
너를 위해 나를 위해 여기서
그만 멈추는 게 맞다고 봐

미안해 정말",
,,89,유겸,,LOLO,가능,,FALSE,FALSE,"LOLO LOLO
너를 보는 내 눈빛이 흔들려
LOLO LOLO
네가 주는 짜릿함에 난 취해

오늘 밤은 우리 둘만의 파티
아무도 방해할 수 없는 이 공간
비트 위에 몸을 맡기고 춤을 춰
너와 나 하나가 되는 이 순간

LOLO LOLO
사랑인지 욕망인지 모르지만
LOLO LOLO
지금 이 순간만은 널 원해",
,,90,유우리,,베텔기우스,가능,,TRUE,FALSE,"밤하늘의 베텔기우스처럼
붉게 타오르는 나의 이 마음
너에게 전해지길 간절히 바래
이 소란스런 우주 한복판에서

사랑한다는 한마디가 어려워서
나는 오늘도 노래를 불러
음악에 내 진심을 모두 담아서
네가 들을 수 있도록 크게

결국 우린 멀어지고 말겠지만
나는 멈출 수 없어 이 감정을
너는 나의 영원한 베텔기우스
항상 그 자리에서 빛나줘",
